"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,2023 JCI,JCI Rank,JCI Quartile,JIF Quartile,JIF Percentile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,AIS Quartile
"LANCET INFECTIOUS DISEASES","LANCET INFECT DIS","1473-3099","1474-4457","INFECTIOUS DISEASES","SCIE","41,047","36.4"," 1/132 ","32.4","Q1","36","13.8","8.48"," 1/132 ","Q1","Q1","99.6","99.62","0.076","16.516","12.189","Q1",
"Lancet Regional Health-Europe","LANCET REG HEALTH-EU","2666-7762","2666-7762","HEALTH CARE SCIENCES & SERVICES","SCIE","4,173","13.6"," 1/174 ","13.6","Q1","13.5","3.6","5.59"," 1/175 ","Q1","Q1","99.7","99.71","0.012","2.603","5.244","Q1",
"Lancet Regional Health-Europe","LANCET REG HEALTH-EU","2666-7762","2666-7762","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","4,173","13.6"," 7/403 ","13.6","Q1","13.5","3.6","5.59"," 5/403 ","Q1","Q1","98.4","98.88","0.012","2.603","5.244","Q1",
"Nature Reviews Endocrinology","NAT REV ENDOCRINOL","1759-5029","1759-5037","ENDOCRINOLOGY & METABOLISM","SCIE","20,965","31"," 2/186 ","46.8","Q1","30.6","3.9","4.86"," 3/186 ","Q1","Q1","99.2","98.66","0.029","6.443","14.518","Q1",
"Neuron","NEURON","0896-6273","1097-4199","NEUROSCIENCES","SCIE","99,313","14.7"," 9/310 ","16.9","Q1","14.1","4","3.71"," 5/310 ","Q1","Q1","97.3","98.55","0.107","23.345","8.857","Q1",
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","CLINICAL NEUROLOGY","SCIE","23,201","16.4"," 4/277 ","14.9","Q1","15.8","1.6","3.38"," 5/278 ","Q1","Q1","98.7","98.38","0.035","7.711","5.08","Q1",
"NEURO-ONCOLOGY","NEURO-ONCOLOGY","1522-8517","1523-5866","ONCOLOGY","SCIE","23,201","16.4"," 15/322 ","14.9","Q1","15.8","1.6","3.38"," 14/322 ","Q1","Q1","95.5","95.81","0.035","7.711","5.08","Q1",
"Applied and Computational Mathematics","APPL COMPUT MATH-BAK","1683-3511","1683-6154","MATHEMATICS, APPLIED","SCIE","566","4.6"," 2/331 ","3","Q1","4","0.8","3.31"," 3/331 ","Q1","Q1","99.5","99.24","0.001","0.118","0.543","Q2",
"Nature Communications","NAT COMMUN","N/A","2041-1723","MULTIDISCIPLINARY SCIENCES","SCIE","738,284","14.7"," 8/134 ","16.1","Q1","14.2","2.7","3.28"," 8/135 ","Q1","Q1","94.4","94.44","1.448","316.248","5.656","Q1",
"CHEMICAL SOCIETY REVIEWS","CHEM SOC REV","0306-0012","1460-4744","CHEMISTRY, MULTIDISCIPLINARY","SCIE","174,686","40.4"," 2/230 ","48.1","Q1","39.9","6.2","3.17"," 5/231 ","Q1","Q1","99.3","98.05","0.136","29.659","11.207","Q1",
"Lancet Healthy Longevity","LANCET HEALTH LONGEV","2666-7568","2666-7568","GERIATRICS & GERONTOLOGY","ESCI","2,102","13.4"," 2/74 ","13.8","Q1","13.3","2.9","3.15"," 2/74 ","Q1","Q1","98.0","97.97","0.007","1.453","5.769","Q1",
"INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE","INT J MACH TOOL MANU","0890-6955","1879-2170","ENGINEERING, MANUFACTURING","SCIE","16,687","14"," 2/68 ","11.7","Q1","13","3.7","2.88"," 1/68 ","Q1","Q1","97.8","99.26","0.007","1.485","2.376","Q1",
"INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE","INT J MACH TOOL MANU","0890-6955","1879-2170","ENGINEERING, MECHANICAL","SCIE","16,687","14"," 2/180 ","11.7","Q1","13","3.7","2.88"," 1/180 ","Q1","Q1","99.2","99.72","0.007","1.485","2.376","Q1",
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","1759-0876","1759-0884","CHEMISTRY, MULTIDISCIPLINARY","SCIE","11,170","16.8"," 11/230 ","20","Q1","16.7","1.6","2.75"," 8/231 ","Q1","Q1","95.4","96.75","0.011","2.396","5.148","Q1",
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","1759-0876","1759-0884","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","11,170","16.8"," 1/65 ","20","Q1","16.7","1.6","2.75"," 1/65 ","Q1","Q1","99.2","99.23","0.011","2.396","5.148","Q1",
"DRUG RESISTANCE UPDATES","DRUG RESIST UPDATE","1368-7646","1532-2084","PHARMACOLOGY & PHARMACY","SCIE","4,913","15.8"," 3/354 ","18.1","Q1","15.1","3.3","2.6"," 5/354 ","Q1","Q1","99.3","98.73","0.004","0.808","3.747","Q1",
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","20,810","10.7"," 9/197 ","11.9","Q1","10.1","1.7","2.43"," 12/198 ","Q1","Q1","95.7","94.19","0.029","6.233","3.048","Q1",
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","SCIE","20,810","10.7"," 4/169 ","11.9","Q1","10.1","1.7","2.43"," 7/169 ","Q1","Q1","97.9","96.15","0.029","6.233","3.048","Q1",
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","ENGINEERING, BIOMEDICAL","SCIE","20,810","10.7"," 6/122 ","11.9","Q1","10.1","1.7","2.43"," 5/122 ","Q1","Q1","95.5","96.31","0.029","6.233","3.048","Q1",
"MEDICAL IMAGE ANALYSIS","MED IMAGE ANAL","1361-8415","1361-8423","RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING","SCIE","20,810","10.7"," 3/204 ","11.9","Q1","10.1","1.7","2.43"," 6/204 ","Q1","Q1","98.8","97.30","0.029","6.233","3.048","Q1",
"Journal of Numerical Mathematics","J NUMER MATH","1570-2820","1569-3953","MATHEMATICS","SCIE","682","3.8"," 5/489 ","3","Q1","3.8","1","2.41"," 9/489 ","Q1","Q1","99.1","98.26","0.001","0.214","1.598","Q1",
"Journal of Numerical Mathematics","J NUMER MATH","1570-2820","1569-3953","MATHEMATICS, APPLIED","SCIE","682","3.8"," 6/331 ","3","Q1","3.8","1","2.41"," 5/331 ","Q1","Q1","98.3","98.64","0.001","0.214","1.598","Q1",
"IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS FOR VIDEO TECHNOLOGY","IEEE T CIRC SYST VID","1051-8215","1558-2205","ENGINEERING, ELECTRICAL & ELECTRONIC","SCIE","19,798","8.3"," 20/352 ","7.1","Q1","6.3","1.9","2.28"," 17/354 ","Q1","Q1","94.5","95.34","0.031","6.864","1.915","Q1",
"Asian Journal of Social Health and Behavior","ASIAN J SOC HEAL BEH","N/A","2772-4204","PSYCHIATRY","ESCI","274","5"," 35/276 ","N/A","N/A","5","0.8","2.25"," 11/276 ","Q1","Q1","87.5","96.20","0","0.093","N/A","N/A",
"Asian Journal of Social Health and Behavior","ASIAN J SOC HEAL BEH","N/A","2772-4204","PSYCHOLOGY, MULTIDISCIPLINARY","ESCI","274","5"," 20/218 ","N/A","N/A","5","0.8","2.25"," 17/218 ","Q1","Q1","91.1","92.43","0","0.093","N/A","N/A",
"Asian Journal of Social Health and Behavior","ASIAN J SOC HEAL BEH","N/A","2772-4204","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","274","5"," 33/403 ","N/A","N/A","5","0.8","2.25"," 15/403 ","Q1","Q1","91.9","96.40","0","0.093","N/A","N/A",
"INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES","INT J ROCK MECH MIN","1365-1609","1873-4545","ENGINEERING, GEOLOGICAL","SCIE","34,054","7"," 2/63 ","7.7","Q1","6.6","1.6","2.19"," 2/63 ","Q1","Q1","97.6","97.62","0.018","3.846","1.613","Q1",
