"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","J AGR FOOD CHEM","0021-8561","1520-5118","AGRICULTURE, MULTIDISCIPLINARY","SCIE","142,021","5.7","Q1","1.33"," 7/89 ","6","Q1","5","1.1"," 11/89 ","Q1","88.20","0.055","12.006","0.899","92.7","Q1",
"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","J AGR FOOD CHEM","0021-8561","1520-5118","CHEMISTRY, APPLIED","SCIE","142,021","5.7","Q1","1.33"," 12/74 ","6","Q1","5","1.1"," 8/74 ","Q1","89.86","0.055","12.006","0.899","84.5","Q1",
"JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY","J AGR FOOD CHEM","0021-8561","1520-5118","FOOD SCIENCE & TECHNOLOGY","SCIE","142,021","5.7","Q1","1.33"," 22/173 ","6","Q1","5","1.1"," 18/173 ","Q1","89.88","0.055","12.006","0.899","87.6","Q1",
"Remote Sensing","REMOTE SENS-BASEL","N/A","2072-4292","ENVIRONMENTAL SCIENCES","SCIE","128,838","4.2","Q2","0.97"," 110/358 ","4.9","Q2","3.2","1"," 88/359 ","Q1","75.63","0.15","32.739","0.877","69.4","Q2",
"Remote Sensing","REMOTE SENS-BASEL","N/A","2072-4292","GEOSCIENCES, MULTIDISCIPLINARY","SCIE","128,838","4.2","Q1","0.97"," 34/253 ","4.9","Q1","3.2","1"," 56/253 ","Q1","78.06","0.15","32.739","0.877","86.8","Q2",
"Remote Sensing","REMOTE SENS-BASEL","N/A","2072-4292","IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY","SCIE","128,838","4.2","Q2","0.97"," 10/36 ","4.9","Q2","3.2","1"," 11/36 ","Q1","70.83","0.15","32.739","0.877","73.6","Q2",
"Remote Sensing","REMOTE SENS-BASEL","N/A","2072-4292","REMOTE SENSING","SCIE","128,838","4.2","Q2","0.97"," 16/62 ","4.9","Q1","3.2","1"," 19/62 ","Q1","70.16","0.15","32.739","0.877","75.0","Q2",
"BIOMATERIALS","BIOMATERIALS","0142-9612","1878-5905","ENGINEERING, BIOMEDICAL","SCIE","111,643","12.8","Q1","2.52"," 4/122 ","13.1","Q1","12.6","2"," 3/122 ","Q1","97.95","0.058","12.758","2.398","97.1","Q1",
"BIOMATERIALS","BIOMATERIALS","0142-9612","1878-5905","MATERIALS SCIENCE, BIOMATERIALS","SCIE","111,643","12.8","Q1","2.52"," 2/53 ","13.1","Q1","12.6","2"," 2/53 ","Q1","97.17","0.058","12.758","2.398","97.2","Q1",
"Journal of Hydrology","J HYDROL","0022-1694","1879-2707","ENGINEERING, CIVIL","SCIE","88,377","5.9","Q1","1.48"," 14/181 ","6.4","Q1","5.1","1.2"," 7/181 ","Q1","96.41","0.061","13.41","1.216","92.5","Q1",
