"Journal Data Filtered By:  Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2023 Selected Category Schema: WOS Selected Open Access: N Selected ISSN/eISSNs: Multiple Indicator: Custom"

Journal name,JCR Abbreviation,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile
"Scientific Reports","SCI REP-UK","2045-2322","2045-2322","MULTIDISCIPLINARY SCIENCES","SCIE","734,562","3.8","Q1","1.05"," 25/134 ","4.3","Q1","3.7","0.8"," 23/135 ","Q1","83.33","0.908","198.349","1.059","81.7","Q1",
"ACS Applied Materials & Interfaces","ACS APPL MATER INTER","1944-8244","1944-8252","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","364,612","8.3","Q1","1.4"," 69/438 ","8.7","Q1","7.9","1.8"," 63/438 ","Q1","85.73","0.361","78.831","1.568","84.4","Q1",
"ACS Applied Materials & Interfaces","ACS APPL MATER INTER","1944-8244","1944-8252","NANOSCIENCE & NANOTECHNOLOGY","SCIE","364,612","8.3","Q1","1.4"," 28/140 ","8.7","Q1","7.9","1.8"," 22/140 ","Q1","84.64","0.361","78.831","1.568","80.4","Q1",
"ANNALS OF INTERNAL MEDICINE","ANN INTERN MED","0003-4819","1539-3704","MEDICINE, GENERAL & INTERNAL","SCIE","64,849","19.6","Q1","4.45"," 8/325 ","28.8","Q1","19.1","4"," 8/329 ","Q1","97.72","0.071","15.474","12.291","97.7","Q1",
"International Journal of Pharmaceutics","INT J PHARMACEUT","0378-5173","1873-3476","PHARMACOLOGY & PHARMACY","SCIE","63,052","5.3","Q1","1.63"," 34/354 ","5.6","Q1","4.9","1.2"," 23/354 ","Q1","93.64","0.03","6.531","0.748","90.5","Q2",
"Nature Protocols","NAT PROTOC","1754-2189","1750-2799","BIOCHEMICAL RESEARCH METHODS","SCIE","52,708","13.1","Q1","3.58"," 2/85 ","17.4","Q1","13","2.6"," 2/85 ","Q1","98.24","0.049","10.71","7.291","98.2","Q1",
"Nature Chemistry","NAT CHEM","1755-4330","1755-4349","CHEMISTRY, MULTIDISCIPLINARY","SCIE","42,489","19.2","Q1","3.49"," 7/230 ","22","Q1","19","4.2"," 4/231 ","Q1","98.48","0.049","10.783","7.874","97.2","Q1",
"JOURNAL OF UROLOGY","J UROLOGY","0022-5347","1527-3792","UROLOGY & NEPHROLOGY","SCIE","42,313","5.9","Q1","2.16"," 10/126 ","5.9","Q1","5.5","3.5"," 10/126 ","Q1","92.46","0.023","5.058","1.995","92.5","Q1",
"NEUROSCIENCE","NEUROSCIENCE","0306-4522","1873-7544","NEUROSCIENCES","SCIE","39,234","2.9","Q2","0.76"," 143/310 ","3","Q3","2.9","0.8"," 158/310 ","Q3","49.19","0.019","4.082","0.851","54.0","Q3",
"FOOD AND CHEMICAL TOXICOLOGY","FOOD CHEM TOXICOL","0278-6915","1873-6351","FOOD SCIENCE & TECHNOLOGY","SCIE","36,293","3.9","Q2","1.11"," 53/173 ","4.5","Q2","3.8","0.9"," 34/173 ","Q1","80.64","0.019","4.186","0.713","69.7","Q2",
"FOOD AND CHEMICAL TOXICOLOGY","FOOD CHEM TOXICOL","0278-6915","1873-6351","TOXICOLOGY","SCIE","36,293","3.9","Q1","1.11"," 23/106 ","4.5","Q1","3.8","0.9"," 16/106 ","Q1","85.38","0.019","4.186","0.713","78.8","Q2",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","BIOCHEMICAL RESEARCH METHODS","SCIE","34,304","6.1","Q1","1.2"," 5/85 ","6.3","Q1","5.6","1.1"," 10/85 ","Q1","88.82","0.019","4.239","1.225","94.7","Q1",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","CHEMISTRY, ANALYTICAL","SCIE","34,304","6.1","Q1","1.2"," 8/106 ","6.3","Q1","5.6","1.1"," 13/106 ","Q1","88.21","0.019","4.239","1.225","92.9","Q1",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","CHEMISTRY, MULTIDISCIPLINARY","SCIE","34,304","6.1","Q1","1.2"," 50/230 ","6.3","Q1","5.6","1.1"," 44/231 ","Q1","81.17","0.019","4.239","1.225","78.5","Q1",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","INSTRUMENTS & INSTRUMENTATION","SCIE","34,304","6.1","Q1","1.2"," 7/76 ","6.3","Q1","5.6","1.1"," 9/76 ","Q1","88.82","0.019","4.239","1.225","91.4","Q1",
"LAB ON A CHIP","LAB CHIP","1473-0197","1473-0189","NANOSCIENCE & NANOTECHNOLOGY","SCIE","34,304","6.1","Q2","1.2"," 39/140 ","6.3","Q2","5.6","1.1"," 32/140 ","Q1","77.50","0.019","4.239","1.225","72.5","Q2",
"AMERICAN JOURNAL OF GASTROENTEROLOGY","AM J GASTROENTEROL","0002-9270","1572-0241","GASTROENTEROLOGY & HEPATOLOGY","SCIE","33,137","8","Q1","1.99"," 14/143 ","9.5","Q1","7.7","2.6"," 13/143 ","Q1","91.26","0.03","6.586","3.803","90.6","Q1",
"BRITISH JOURNAL OF SPORTS MEDICINE","BRIT J SPORT MED","0306-3674","1473-0480","SPORT SCIENCES","SCIE","31,455","11.6","Q1","4.34"," 1/127 ","14.4","Q1","10.8","4"," 1/127 ","Q1","99.61","0.032","7.049","4.633","99.6","Q1",
"POLYMER DEGRADATION AND STABILITY","POLYM DEGRAD STABIL","0141-3910","1873-2321","POLYMER SCIENCE","SCIE","29,007","6.3","Q1","1.31"," 7/94 ","5.9","Q1","5.7","1.4"," 9/94 ","Q1","90.96","0.011","2.452","0.893","93.1","Q1",
"ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION","ARCH PHYS MED REHAB","0003-9993","1532-821X","REHABILITATION","SCIE","25,806","3.6","Q1","1.62"," 9/169 ","3.9","Q1","3.4","1"," 12/169 ","Q1","93.20","0.013","2.89","1.207","95.0","Q1",
"ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION","ARCH PHYS MED REHAB","0003-9993","1532-821X","SPORT SCIENCES","SCIE","25,806","3.6","Q1","1.62"," 14/127 ","3.9","Q1","3.4","1"," 9/127 ","Q1","93.31","0.013","2.89","1.207","89.4","Q1",
"BIOMETRIKA","BIOMETRIKA","0006-3444","1464-3510","BIOLOGY","SCIE","25,509","2.4","Q2","0.92"," 39/109 ","3.1","Q2","2.3","0.5"," 24/109 ","Q1","78.44","0.012","2.596","3.529","64.7","Q1",
"BIOMETRIKA","BIOMETRIKA","0006-3444","1464-3510","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","25,509","2.4","Q2","0.92"," 24/65 ","3.1","Q2","2.3","0.5"," 17/65 ","Q1","74.62","0.012","2.596","3.529","63.8","Q1",
"BIOMETRIKA","BIOMETRIKA","0006-3444","1464-3510","STATISTICS & PROBABILITY","SCIE","25,509","2.4","Q1","0.92"," 22/168 ","3.1","Q1","2.3","0.5"," 23/168 ","Q1","86.61","0.012","2.596","3.529","87.2","Q1",
"Stem Cell Research & Therapy","STEM CELL RES THER","N/A","1757-6512","CELL & TISSUE ENGINEERING","SCIE","24,357","7.1","Q1","1.39"," 3/31 ","7.9","Q1","6.8","0.9"," 5/31 ","Q1","85.48","0.029","6.373","1.512","91.9","Q1",
"Stem Cell Research & Therapy","STEM CELL RES THER","N/A","1757-6512","CELL BIOLOGY","SCIE","24,357","7.1","Q1","1.39"," 39/205 ","7.9","Q1","6.8","0.9"," 34/205 ","Q1","83.66","0.029","6.373","1.512","81.2","Q2",
"Stem Cell Research & Therapy","STEM CELL RES THER","N/A","1757-6512","MEDICINE, RESEARCH & EXPERIMENTAL","SCIE","24,357","7.1","Q1","1.39"," 20/189 ","7.9","Q1","6.8","0.9"," 28/189 ","Q1","85.45","0.029","6.373","1.512","89.7","Q1",
"PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES","P ROY SOC A-MATH PHY","1364-5021","1471-2946","MULTIDISCIPLINARY SCIENCES","SCIE","23,115","2.9","Q1","0.83"," 31/134 ","3.2","Q1","2.8","0.6"," 36/135 ","Q2","73.70","0.013","2.756","1.124","77.2","Q1",
"Coatings","COATINGS","N/A","2079-6412","MATERIALS SCIENCE, COATINGS & FILMS","SCIE","21,609","2.9","Q2","0.57"," 10/23 ","3.1","Q2","2.5","0.9"," 11/23 ","Q2","54.35","0.021","4.539","0.419","58.7","Q3",
"Coatings","COATINGS","N/A","2079-6412","MATERIALS SCIENCE, MULTIDISCIPLINARY","SCIE","21,609","2.9","Q3","0.57"," 220/438 ","3.1","Q3","2.5","0.9"," 217/438 ","Q2","50.57","0.021","4.539","0.419","49.9","Q3",
"Coatings","COATINGS","N/A","2079-6412","PHYSICS, APPLIED","SCIE","21,609","2.9","Q2","0.57"," 68/179 ","3.1","Q2","2.5","0.9"," 83/179 ","Q2","53.91","0.021","4.539","0.419","62.3","Q3",
"JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","J ANAL APPL PYROL","0165-2370","1873-250X","CHEMISTRY, ANALYTICAL","SCIE","20,639","5.8","Q1","1.05"," 10/106 ","5.7","Q1","5.1","1.5"," 19/106 ","Q1","82.55","0.01","2.251","0.879","91.0","Q1",
"JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","J ANAL APPL PYROL","0165-2370","1873-250X","ENERGY & FUELS","SCIE","20,639","5.8","Q2","1.05"," 58/170 ","5.7","Q2","5.1","1.5"," 54/173 ","Q1","69.08","0.01","2.251","0.879","66.2","Q2",
"JOURNAL OF ANALYTICAL AND APPLIED PYROLYSIS","J ANAL APPL PYROL","0165-2370","1873-250X","ENGINEERING, CHEMICAL","SCIE","20,639","5.8","Q1","1.05"," 29/170 ","5.7","Q1","5.1","1.5"," 26/171 ","Q1","85.09","0.01","2.251","0.879","83.2","Q1",
"ARTHRITIS RESEARCH & THERAPY","ARTHRITIS RES THER","1478-6354","1478-6362","RHEUMATOLOGY","SCIE","20,324","4.4","Q1","1.29"," 12/57 ","4.9","Q1","4.3","0.8"," 9/57 ","Q1","85.09","0.017","3.638","1.464","79.8","Q1",
"EUROPEAN SPINE JOURNAL","EUR SPINE J","0940-6719","1432-0932","CLINICAL NEUROLOGY","SCIE","19,798","2.6","Q2","0.93"," 118/277 ","3.1","Q2","2.3","0.4"," 84/278 ","Q2","69.96","0.014","3.029","0.896","57.6","Q2",
"EUROPEAN SPINE JOURNAL","EUR SPINE J","0940-6719","1432-0932","ORTHOPEDICS","SCIE","19,798","2.6","Q1","0.93"," 29/136 ","3.1","Q1","2.3","0.4"," 41/136 ","Q2","70.22","0.014","3.029","0.896","79.0","Q1",
"IEEE-ASME TRANSACTIONS ON MECHATRONICS","IEEE-ASME T MECH","1083-4435","1941-014X","AUTOMATION & CONTROL SYSTEMS","SCIE","19,571","6.1","Q1","1.53"," 13/84 ","6.2","Q1","5.1","1"," 11/84 ","Q1","87.50","0.022","4.793","1.472","85.1","Q1",
