	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)
VARIABLES	g24259	g24260	g24261	g24262	g24263	g24264	g24265	g24266	g24267	g24268	g24269	g24270	g24271	g24272	g24273	g24274	g24275	g24276	g24277	g24278	g24279	g24280	g24281	g24282	g24283	wgt
																										
w24259_24248																										0
																										(0)
w24259_24249																										8.43e-05***
																										(1.76e-05)
w24259_24250																										8.43e-05***
																										(1.76e-05)
w24259_24251																										8.43e-05***
																										(1.76e-05)
w24259_24252																										8.43e-05***
																										(1.76e-05)
w24259_24253																										8.43e-05***
																										(1.76e-05)
w24259_24254																										8.43e-05***
																										(1.76e-05)
w24259_24255																										8.43e-05***
																										(1.76e-05)
w24259_24256																										8.43e-05***
																										(1.76e-05)
w24259_24257																										8.43e-05***
																										(1.76e-05)
w24259_24258																										8.43e-05***
																										(1.76e-05)
w24259_24259																										0
																										(0)
w24259_24260																										8.43e-05***
																										(1.76e-05)
w24259_24261																										8.43e-05***
																										(1.76e-05)
w24259_24262																										8.43e-05***
																										(1.76e-05)
w24259_24263																										8.43e-05***
																										(1.76e-05)
w24259_24264																										8.43e-05***
																										(1.76e-05)
w24259_24265																										8.43e-05***
																										(1.76e-05)
w24259_24266																										8.43e-05***
																										(1.76e-05)
w24259_24267																										8.43e-05***
																										(1.76e-05)
w24259_24268																										8.43e-05***
																										(1.76e-05)
w24259_24269																										8.43e-05***
																										(1.76e-05)
w24259_24270																										0
																										(0)
w24259_24271																										0
																										(0)
w24259_24272																										0
																										(0)
w24259_24273																										0
																										(0)
w24259_24274																										0
																										(0)
w24259_24275																										0
																										(0)
w24259_24276																										0
																										(0)
w24259_24277																										0
																										(0)
w24259_24278																										0
																										(0)
w24259_24279																										0
																										(0)
w24259_24280																										0
																										(0)
w24259_24281																										0
																										(0)
w24259_24282																										0
																										(0)
w24259_24283																										0
																										(0)
w24259_24284																										0
																										(0)
w24259_24285																										0
																										(0)
w24259_24286																										0
																										(0)
w24259_24287																										0
																										(0)
w24259_24288																										0
																										(0)
w24259_24289																										0
																										(0)
w24259_24290																										0
																										(0)
w24259_24291																										0
																										(0)
w24259_24292																										0
																										(0)
w24259_24293																										0
																										(0)
w24259_24294																										0
																										(0)
w24259_24295																										0
																										(0)
w24260_24248																										0
																										(0)
w24260_24249																										0
																										(0)
w24260_24250																										0.000172***
																										(2.51e-05)
w24260_24251																										0.000172***
																										(2.51e-05)
w24260_24252																										0.000172***
																										(2.51e-05)
w24260_24253																										0.000172***
																										(2.51e-05)
w24260_24254																										0.000172***
																										(2.51e-05)
w24260_24255																										0.000172***
																										(2.51e-05)
w24260_24256																										0.000172***
																										(2.51e-05)
w24260_24257																										0.000172***
																										(2.51e-05)
w24260_24258																										0.000172***
																										(2.51e-05)
w24260_24259																										0.000172***
																										(2.51e-05)
w24260_24260																										0
																										(0)
w24260_24261																										0.000172***
																										(2.51e-05)
w24260_24262																										0.000172***
																										(2.51e-05)
w24260_24263																										0.000172***
																										(2.51e-05)
w24260_24264																										0.000172***
																										(2.51e-05)
w24260_24265																										0.000172***
																										(2.51e-05)
