	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_13	0.0361	-0.0380	0.0361	0.0361	-0.0380
	(0.189)	(0.187)	(0.189)	(0.189)	(0.187)
time24_14	-0.153	-0.301*	-0.153	-0.153	-0.301*
	(0.181)	(0.175)	(0.181)	(0.181)	(0.175)
time24_15	-0.160	-0.382**	-0.160	-0.160	-0.382**
	(0.193)	(0.181)	(0.193)	(0.193)	(0.181)
time24_16	0.121	-0.175	0.121	0.121	-0.175
	(0.186)	(0.167)	(0.186)	(0.186)	(0.167)
time24_17	0.205	-0.165	0.205	0.205	-0.165
	(0.217)	(0.189)	(0.217)	(0.217)	(0.189)
time24_18	0.113	-0.332*	0.113	0.113	-0.332*
	(0.216)	(0.177)	(0.216)	(0.216)	(0.177)
time24_19	0.488**	-0.0307	0.488**	0.488**	-0.0307
	(0.221)	(0.169)	(0.221)	(0.221)	(0.169)
time24_20	0.197	-0.396**	0.197	0.197	-0.396**
	(0.236)	(0.169)	(0.236)	(0.236)	(0.169)
time24_21	0.367	-0.300*	0.367	0.367	-0.300*
	(0.243)	(0.158)	(0.243)	(0.243)	(0.158)
time24_22	0.519*	-0.222	0.519*	0.519*	-0.222
	(0.269)	(0.168)	(0.269)	(0.269)	(0.168)
time24_23	0.381	-0.434***	0.381	0.381	-0.434***
	(0.285)	(0.166)	(0.285)	(0.285)	(0.166)
time24_25	1.073***	0.109	1.073***	1.073***	0.109
	(0.312)	(0.151)	(0.312)	(0.312)	(0.151)
time24_26	0.943***	-0.0940	0.943***	0.943***	-0.0940
	(0.338)	(0.152)	(0.338)	(0.338)	(0.152)
time24_27	0.787**	-0.324**	0.787**	0.787**	-0.324**
	(0.365)	(0.153)	(0.365)	(0.365)	(0.153)
time24_28	0.901**	-0.285*	0.901**	0.901**	-0.285*
	(0.384)	(0.154)	(0.384)	(0.384)	(0.154)
time24_29	0.908**	-0.352**	0.908**	0.908**	-0.352**
	(0.414)	(0.151)	(0.414)	(0.414)	(0.151)
time24_30	1.119***	-0.214	1.119***	1.119***	-0.214
	(0.426)	(0.149)	(0.426)	(0.426)	(0.149)
time24_31	1.036**	-0.371***	1.036**	1.036**	-0.371***
	(0.447)	(0.143)	(0.447)	(0.447)	(0.143)
time24_32	1.436***	-0.0451	1.436***	1.436***	-0.0451
	(0.460)	(0.153)	(0.460)	(0.460)	(0.153)
time24_33	1.241***	-0.315**	1.241***	1.241***	-0.315**
	(0.478)	(0.146)	(0.478)	(0.478)	(0.146)
time24_34	1.477***	-0.152	1.477***	1.477***	-0.152
	(0.509)	(0.185)	(0.509)	(0.509)	(0.185)
time24_35	1.543***	-0.161	1.543***	1.543***	-0.161
	(0.516)	(0.139)	(0.516)	(0.516)	(0.139)
time24_36	1.778***		1.778***	1.778***	
	(0.525)		(0.525)	(0.525)	
months_from_start		0.0741***			0.0741***
		(0.0219)			(0.0219)
Constant	1.457**	-15.12***	1.457**	1.457**	-15.12***
	(0.578)	(5.424)	(0.578)	(0.578)	(5.424)
					
Observations	152,049	152,049	152,049	152,049	152,049
R-squared	0.002	0.002	0.002	0.002	0.002
Number of id_numeric	6,354	6,354	6,354	6,354	6,354
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
