	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time12_0	0.0933	0.0933	0.0933	0.0933	0.0933
	(0.186)	(0.186)	(0.186)	(0.186)	(0.186)
time12_1	0.297	0.297	0.297	0.297	0.297
	(0.203)	(0.203)	(0.203)	(0.203)	(0.203)
time12_2	-0.0712	-0.0712	-0.0712	-0.0712	-0.0712
	(0.214)	(0.214)	(0.214)	(0.214)	(0.214)
time12_3	0.0881	0.0881	0.0881	0.0881	0.0881
	(0.214)	(0.214)	(0.214)	(0.214)	(0.214)
time12_4	0.322	0.322	0.322	0.322	0.322
	(0.223)	(0.223)	(0.223)	(0.223)	(0.223)
time12_5	0.199	0.199	0.199	0.199	0.199
	(0.229)	(0.229)	(0.229)	(0.229)	(0.229)
time12_6	-0.199	-0.199	-0.199	-0.199	-0.199
	(0.210)	(0.210)	(0.210)	(0.210)	(0.210)
time12_7	0.427*	0.427*	0.427*	0.427*	0.427*
	(0.241)	(0.241)	(0.241)	(0.241)	(0.241)
time12_8	-0.439*	-0.439*	-0.439*	-0.439*	-0.439*
	(0.226)	(0.226)	(0.226)	(0.226)	(0.226)
time12_9	-0.190	-0.190	-0.190	-0.190	-0.190
	(0.228)	(0.228)	(0.228)	(0.228)	(0.228)
time12_10	-0.348	-0.348	-0.348	-0.348	-0.348
	(0.221)	(0.221)	(0.221)	(0.221)	(0.221)
time12_11	-0.310	-0.310	-0.310	-0.310	-0.310
	(0.235)	(0.235)	(0.235)	(0.235)	(0.235)
time12_13	-0.0113	-0.0113	-0.0113	-0.0113	-0.0113
	(0.231)	(0.231)	(0.231)	(0.231)	(0.231)
time12_14	-0.154	-0.154	-0.154	-0.154	-0.154
	(0.228)	(0.228)	(0.228)	(0.228)	(0.228)
time12_15	-0.659***	-0.659***	-0.659***	-0.659***	-0.659***
	(0.214)	(0.214)	(0.214)	(0.214)	(0.214)
time12_16	-0.269	-0.269	-0.269	-0.269	-0.269
	(0.226)	(0.226)	(0.226)	(0.226)	(0.226)
time12_17	-0.416*	-0.416*	-0.416*	-0.416*	-0.416*
	(0.214)	(0.214)	(0.214)	(0.214)	(0.214)
time12_18	-0.245	-0.245	-0.245	-0.245	-0.245
	(0.218)	(0.218)	(0.218)	(0.218)	(0.218)
time12_19	-0.354*	-0.354*	-0.354*	-0.354*	-0.354*
	(0.203)	(0.203)	(0.203)	(0.203)	(0.203)
time12_20	-0.366*	-0.366*	-0.366*	-0.366*	-0.366*
	(0.202)	(0.202)	(0.202)	(0.202)	(0.202)
time12_21	-0.509**	-0.509**	-0.509**	-0.509**	-0.509**
	(0.205)	(0.205)	(0.205)	(0.205)	(0.205)
time12_22	-0.308	-0.308	-0.308	-0.308	-0.308
	(0.208)	(0.208)	(0.208)	(0.208)	(0.208)
time12_23	-0.0395	-0.0395	-0.0395	-0.0395	-0.0395
	(0.205)	(0.205)	(0.205)	(0.205)	(0.205)
time12_24	-0.305	-0.305	-0.305	-0.305	-0.305
	(0.192)	(0.192)	(0.192)	(0.192)	(0.192)
months_from_start		-0.132			-0.132
		(0.139)			(0.139)
Constant	15.94*	48.96	15.94*	15.94*	48.96
	(8.336)	(43.01)	(8.336)	(8.336)	(43.01)
					
Observations	72,426	72,426	72,426	72,426	72,426
R-squared	0.012	0.012	0.012	0.012	0.012
Number of id_numeric	4,236	4,236	4,236	4,236	4,236
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
