	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_12	-0.435***		-0.435***	-0.435***	
	(0.0836)		(0.0836)	(0.0836)	
time24_13	-0.440***	-0.0226	-0.440***	-0.440***	-0.0226
	(0.0814)	(0.0178)	(0.0814)	(0.0814)	(0.0178)
time24_14	-0.439***	-0.0395**	-0.439***	-0.439***	-0.0395**
	(0.0779)	(0.0187)	(0.0779)	(0.0779)	(0.0187)
time24_15	-0.426***	-0.0456**	-0.426***	-0.426***	-0.0456**
	(0.0743)	(0.0182)	(0.0743)	(0.0743)	(0.0182)
time24_16	-0.399***	-0.0364**	-0.399***	-0.399***	-0.0364**
	(0.0723)	(0.0169)	(0.0723)	(0.0723)	(0.0169)
time24_17	-0.389***	-0.0445***	-0.389***	-0.389***	-0.0445***
	(0.0693)	(0.0171)	(0.0693)	(0.0693)	(0.0171)
time24_18	-0.352***	-0.0259	-0.352***	-0.352***	-0.0259
	(0.0652)	(0.0181)	(0.0652)	(0.0652)	(0.0181)
time24_19	-0.369***	-0.0604***	-0.369***	-0.369***	-0.0604***
	(0.0622)	(0.0179)	(0.0622)	(0.0622)	(0.0179)
time24_20	-0.335***	-0.0446***	-0.335***	-0.335***	-0.0446***
	(0.0585)	(0.0173)	(0.0585)	(0.0585)	(0.0173)
time24_21	-0.334***	-0.0619***	-0.334***	-0.334***	-0.0619***
	(0.0552)	(0.0179)	(0.0552)	(0.0552)	(0.0179)
time24_22	-0.306***	-0.0524***	-0.306***	-0.306***	-0.0524***
	(0.0520)	(0.0169)	(0.0520)	(0.0520)	(0.0169)
time24_23	-0.295***	-0.0595***	-0.295***	-0.295***	-0.0595***
	(0.0493)	(0.0169)	(0.0493)	(0.0493)	(0.0169)
time24_25	-0.242***	-0.0430**	-0.242***	-0.242***	-0.0430**
	(0.0443)	(0.0190)	(0.0443)	(0.0443)	(0.0190)
time24_26	-0.238***	-0.0570***	-0.238***	-0.238***	-0.0570***
	(0.0392)	(0.0176)	(0.0392)	(0.0392)	(0.0176)
time24_27	-0.197***	-0.0333*	-0.197***	-0.197***	-0.0333*
	(0.0381)	(0.0181)	(0.0381)	(0.0381)	(0.0181)
time24_28	-0.183***	-0.0375**	-0.183***	-0.183***	-0.0375**
	(0.0347)	(0.0186)	(0.0347)	(0.0347)	(0.0186)
time24_29	-0.155***	-0.0282	-0.155***	-0.155***	-0.0282
	(0.0328)	(0.0189)	(0.0328)	(0.0328)	(0.0189)
time24_30	-0.151***	-0.0422**	-0.151***	-0.151***	-0.0422**
	(0.0292)	(0.0180)	(0.0292)	(0.0292)	(0.0180)
time24_31	-0.120***	-0.0295	-0.120***	-0.120***	-0.0295
	(0.0284)	(0.0207)	(0.0284)	(0.0284)	(0.0207)
time24_32	-0.105***	-0.0324*	-0.105***	-0.105***	-0.0324*
	(0.0245)	(0.0189)	(0.0245)	(0.0245)	(0.0189)
time24_33	-0.120***	-0.0652***	-0.120***	-0.120***	-0.0652***
	(0.0227)	(0.0192)	(0.0227)	(0.0227)	(0.0192)
time24_34	-0.100***	-0.0642***	-0.100***	-0.100***	-0.0642***
	(0.0212)	(0.0197)	(0.0212)	(0.0212)	(0.0197)
time24_35	-0.0928***	-0.0746***	-0.0928***	-0.0928***	-0.0746***
	(0.0201)	(0.0196)	(0.0201)	(0.0201)	(0.0196)
months_from_start		0.0181***			0.0181***
		(0.00348)			(0.00348)
Constant	0.653***	-2.991***	0.653***	0.653***	-2.991***
	(0.124)	(0.587)	(0.124)	(0.124)	(0.587)
					
Observations	59,535	59,535	59,535	59,535	59,535
R-squared	0.019	0.019	0.019	0.019	0.019
Number of id_numeric	2,498	2,498	2,498	2,498	2,498
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
