	(1)	(2)	(3)	(4)	(5)
VARIABLES	No Controls	Months from First Publication	Months Exp	Pubs Exp	All Controls
					
time24_12	-0.00769***		-0.00769***	-0.00769***	
	(0.00222)		(0.00222)	(0.00222)	
time24_13	-0.00774***	-0.000372	-0.00774***	-0.00774***	-0.000372
	(0.00232)	(0.000341)	(0.00232)	(0.00232)	(0.000341)
time24_14	-0.00786***	-0.000812	-0.00786***	-0.00786***	-0.000812
	(0.00232)	(0.000512)	(0.00232)	(0.00232)	(0.000512)
time24_15	-0.00743***	-0.000707	-0.00743***	-0.00743***	-0.000707
	(0.00231)	(0.000664)	(0.00231)	(0.00231)	(0.000664)
time24_16	-0.00736***	-0.000956	-0.00736***	-0.00736***	-0.000956
	(0.00231)	(0.000830)	(0.00231)	(0.00231)	(0.000830)
time24_17	-0.00750***	-0.00141	-0.00750***	-0.00750***	-0.00141
	(0.00226)	(0.000922)	(0.00226)	(0.00226)	(0.000922)
time24_18	-0.00764***	-0.00188*	-0.00764***	-0.00764***	-0.00188*
	(0.00223)	(0.00103)	(0.00223)	(0.00223)	(0.00103)
time24_19	-0.00730***	-0.00186*	-0.00730***	-0.00730***	-0.00186*
	(0.00220)	(0.00111)	(0.00220)	(0.00220)	(0.00111)
time24_20	-0.00676***	-0.00163	-0.00676***	-0.00676***	-0.00163
	(0.00216)	(0.00117)	(0.00216)	(0.00216)	(0.00117)
time24_21	-0.00680***	-0.00200	-0.00680***	-0.00680***	-0.00200
	(0.00211)	(0.00123)	(0.00211)	(0.00211)	(0.00123)
time24_22	-0.00685***	-0.00237*	-0.00685***	-0.00685***	-0.00237*
	(0.00206)	(0.00128)	(0.00206)	(0.00206)	(0.00128)
time24_23	-0.00706***	-0.00290**	-0.00706***	-0.00706***	-0.00290**
	(0.00197)	(0.00128)	(0.00197)	(0.00197)	(0.00128)
time24_25	-0.00589***	-0.00237**	-0.00589***	-0.00589***	-0.00237**
	(0.00167)	(0.00118)	(0.00167)	(0.00167)	(0.00118)
time24_26	-0.00555***	-0.00235**	-0.00555***	-0.00555***	-0.00235**
	(0.00156)	(0.00113)	(0.00156)	(0.00156)	(0.00113)
time24_27	-0.00512***	-0.00224**	-0.00512***	-0.00512***	-0.00224**
	(0.00142)	(0.00105)	(0.00142)	(0.00142)	(0.00105)
time24_28	-0.00461***	-0.00204**	-0.00461***	-0.00461***	-0.00204**
	(0.00129)	(0.000972)	(0.00129)	(0.00129)	(0.000972)
time24_29	-0.00413***	-0.00189**	-0.00413***	-0.00413***	-0.00189**
	(0.00115)	(0.000881)	(0.00115)	(0.00115)	(0.000881)
time24_30	-0.00378***	-0.00186**	-0.00378***	-0.00378***	-0.00186**
	(0.000995)	(0.000781)	(0.000995)	(0.000995)	(0.000781)
time24_31	-0.00328***	-0.00168**	-0.00328***	-0.00328***	-0.00168**
	(0.000836)	(0.000667)	(0.000836)	(0.000836)	(0.000667)
time24_32	-0.00267***	-0.00139**	-0.00267***	-0.00267***	-0.00139**
	(0.000683)	(0.000560)	(0.000683)	(0.000683)	(0.000560)
time24_33	-0.00202***	-0.00106**	-0.00202***	-0.00202***	-0.00106**
	(0.000531)	(0.000452)	(0.000531)	(0.000531)	(0.000452)
time24_34	-0.00164***	-0.00100***	-0.00164***	-0.00164***	-0.00100***
	(0.000390)	(0.000346)	(0.000390)	(0.000390)	(0.000346)
time24_35	-0.000877***	-0.000556**	-0.000877***	-0.000877***	-0.000556**
	(0.000250)	(0.000240)	(0.000250)	(0.000250)	(0.000240)
months_from_start		0.000320***			0.000320***
		(9.27e-05)			(9.27e-05)
Constant	0.0984***	0.0138	0.0984***	0.0984***	0.0138
	(0.00186)	(0.0236)	(0.00186)	(0.00186)	(0.0236)
					
Observations	239,996	239,996	239,996	239,996	239,996
R-squared	0.002	0.002	0.002	0.002	0.002
Number of id_numeric	10,196	10,196	10,196	10,196	10,196
Robust standard errors in parentheses					
*** p<0.01, ** p<0.05, * p<0.1					
