	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	0	1	2	3	4	5	6	7	8	9
										
post	0.0279***	0.0216**	0.00818	0.0132	0.00969	0.0105	0.0130	0.0171	-0.00503	-0.0412
	(0.00640)	(0.00844)	(0.00989)	(0.0117)	(0.0131)	(0.0150)	(0.0166)	(0.0205)	(0.0232)	(0.0343)
Constant	-0.0436***	0.203	0.0296	0.0946***	0.00445	0.287***	0.0704***	-0.137***	0.208***	0.965***
	(0.0142)	(0.161)	(0.0819)	(0.0218)	(0.0548)	(0.0160)	(0.0226)	(0.0229)	(0.0330)	(0.0449)
										
Observations	39,912	42,096	37,560	40,680	38,520	35,592	38,136	36,576	38,712	38,352
R-squared	0.024	0.017	0.016	0.015	0.017	0.016	0.021	0.028	0.033	0.059
Number of id_numeric	1,663	1,754	1,565	1,695	1,605	1,483	1,589	1,524	1,613	1,598
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
