	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	0	1	2	3	4	5	6	7	8	9
										
post	0.0132	0.0400***	0.0157	0.0280	0.0123	-0.0119	0.00226	-0.00592	-0.0360*	-0.00578
	(0.00984)	(0.0115)	(0.0135)	(0.0175)	(0.0169)	(0.0188)	(0.0206)	(0.0220)	(0.0213)	(0.0203)
Constant	0.405	0.219***	0.155***	0.0537	-0.143***	-0.341	0.405***	0.148*	0.619***	0.480***
	(0.291)	(0.0128)	(0.0441)	(0.163)	(0.0219)	(0.264)	(0.0458)	(0.0863)	(0.0316)	(0.0236)
										
Observations	38,712	39,096	38,784	37,968	39,168	38,592	38,112	38,496	38,736	38,472
R-squared	0.015	0.015	0.015	0.018	0.022	0.025	0.024	0.026	0.030	0.022
Number of id_numeric	1,613	1,629	1,616	1,582	1,632	1,608	1,588	1,604	1,614	1,603
Robust standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
